"source","target","value"
"Graph_characteristics","S-Surface_reconstruction",0
"Negative_correlation","S-Surface_reconstruction",0
"Sparsity_control","S-Surface_reconstruction",0
"Graph_measures","S-Surface_reconstruction",0
"Result_aggregation","S-Surface_reconstruction",0
"Software","S-Segmentation",0
"S-INU_correction","S-Segmentation",1
"S-Denoised","S-Segmentation",0
"S-Gradient_Distortion_Correction","S-Segmentation",0
"S-Fuse_conform","S-Segmentation",0
"S-Skull_stripping","S-Segmentation",10
"S-Spatial_normalization","S-Segmentation",15
"S-BBR_crossmodal_registration","S-Segmentation",0
"S-Surface_reconstruction","S-Segmentation",1
"S-Segmentation","S-Segmentation",0
"F-Exclusion","S-Segmentation",1
"F-Concatenate_Runs","S-Segmentation",0
"F-Removal_Init_Vol","S-Segmentation",0
"F-Skull_extraction","S-Segmentation",0
"F-Alignment/Head_motion_est","S-Segmentation",3
"F-Despiking","S-Segmentation",1
"F-Scrubbing","S-Segmentation",0
"F-Interpolate","S-Segmentation",0
"F-Slice_timing_correction","S-Segmentation",2
"F-Field_map_correction","S-Segmentation",0
"F-Unwarp","S-Segmentation",0
"F-Combined_echos","S-Segmentation",0
"F-Intensity_normalization","S-Segmentation",0
"F-Grand_mean_scaling","S-Segmentation",0
"F-Coregistration","S-Segmentation",28
"F-Spatial_normalization","S-Segmentation",0
"F-Spatial_smooth","S-Segmentation",2
"F-Extract_regressors","S-Segmentation",0
"F-surface","S-Segmentation",0
"F-RETROICOR","S-Segmentation",0
"F-RVHRCOR","S-Segmentation",0
"F-ANATICOR","S-Segmentation",0
"F-PESTICA","S-Segmentation",0
"F-CompCor","S-Segmentation",0
"F-tCompCor","S-Segmentation",0
"F-aCompCor","S-Segmentation",0
"F-ME_ICA","S-Segmentation",0
"F-ArtRepair","S-Segmentation",0
"F-Temporal_detrending","S-Segmentation",0
"F-Global_signal","S-Segmentation",1
"F-ICA_FIX","S-Segmentation",0
"F-ICA_AROMA","S-Segmentation",0
"F-Temporal_filt","S-Segmentation",4
"F-motion_regression","S-Segmentation",0
"F-Other_confound_regression","S-Segmentation",0
"F-PhysIO","S-Segmentation",0
"F-Regressors_filter","S-Segmentation",0
"F-Modular_filter_motion","S-Segmentation",0
"F-wavelet_decomposition","S-Segmentation",0
"Atlas_definition","S-Segmentation",0
"Time_series_ROI","S-Segmentation",0
"ROI_definition","S-Segmentation",0
"Combine_block","S-Segmentation",0
"Compute_connectivity","S-Segmentation",0
"Connectivity_normalization","S-Segmentation",0
"Network_definition","S-Segmentation",0
"Graph_characteristics","S-Segmentation",0
"Negative_correlation","S-Segmentation",0
"Sparsity_control","S-Segmentation",0
"Graph_measures","S-Segmentation",0
"Result_aggregation","S-Segmentation",0
"Software","F-Exclusion",0
"S-INU_correction","F-Exclusion",0
"S-Denoised","F-Exclusion",0
"S-Gradient_Distortion_Correction","F-Exclusion",0
"S-Fuse_conform","F-Exclusion",0
"S-Skull_stripping","F-Exclusion",0
"S-Spatial_normalization","F-Exclusion",0
"S-BBR_crossmodal_registration","F-Exclusion",0
"S-Surface_reconstruction","F-Exclusion",0
"S-Segmentation","F-Exclusion",0
"F-Exclusion","F-Exclusion",0
"F-Concatenate_Runs","F-Exclusion",0
"F-Removal_Init_Vol","F-Exclusion",0
"F-Skull_extraction","F-Exclusion",0
