Starting multiverse analysis for all universes...
Subject 95/100 done. Global efficiency: 0.2794014766921635
Subject 96/100 done. Global efficiency: 0.4270226661450857
Subject 97/100 done. Global efficiency: 0.3000974586418237
Subject 98/100 done. Global efficiency: 0.3732201225498093
Subject 99/100 done. Global efficiency: 0.35437275744226765
Subject 100/100 done. Global efficiency: 0.25102384574857384
Subject 1/100 done. Global efficiency: 0.14832092096398292
Subject 2/100 done. Global efficiency: 0.17754654945326068
Subject 3/100 done. Global efficiency: 0.17145820117925178
Subject 4/100 done. Global efficiency: 0.17789206416277598
Subject 5/100 done. Global efficiency: 0.15070250021771142
Subject 6/100 done. Global efficiency: 0.14066978268707134
Subject 7/100 done. Global efficiency: 0.1395620863833431
Subject 8/100 done. Global efficiency: 0.15620132114717883
Subject 9/100 done. Global efficiency: 0.13439854438716256
Subject 10/100 done. Global efficiency: 0.12692305967896444
Subject 11/100 done. Global efficiency: 0.15691533736816718
Subject 12/100 done. Global efficiency: 0.13030682539311367
Subject 13/100 done. Global efficiency: 0.14347590256966797
Subject 14/100 done. Global efficiency: 0.16499665007902686
Subject 15/100 done. Global efficiency: 0.10637679459315756
Subject 16/100 done. Global efficiency: 0.14729812087153688
Subject 17/100 done. Global efficiency: 0.14386460294415324
Subject 18/100 done. Global efficiency: 0.11919247897812056
Subject 19/100 done. Global efficiency: 0.11871220583177841
Subject 20/100 done. Global efficiency: 0.15015023819344772
Subject 21/100 done. Global efficiency: 0.1351674706093243
Subject 22/100 done. Global efficiency: 0.14318195443123372
Subject 23/100 done. Global efficiency: 0.12623440577520234
Subject 24/100 done. Global efficiency: 0.1343325950591901
Subject 25/100 done. Global efficiency: 0.1189142787377861
Subject 26/100 done. Global efficiency: 0.14480450858843175
Subject 27/100 done. Global efficiency: 0.15687261300040298
Subject 28/100 done. Global efficiency: 0.146661011434815
Subject 29/100 done. Global efficiency: 0.16408001712074768
Subject 30/100 done. Global efficiency: 0.1391406109405601
Subject 31/100 done. Global efficiency: 0.14644733402526905
Subject 32/100 done. Global efficiency: 0.13936713998242292
Subject 33/100 done. Global efficiency: 0.16227498018236067
Subject 34/100 done. Global efficiency: 0.16226322774603
Subject 35/100 done. Global efficiency: 0.11569471693230257
Subject 36/100 done. Global efficiency: 0.14892486230342625
Subject 37/100 done. Global efficiency: 0.12071668453390752
Subject 38/100 done. Global efficiency: 0.09115886080295305
Subject 39/100 done. Global efficiency: 0.1585622743106895
Subject 40/100 done. Global efficiency: 0.13353247518991102
Subject 41/100 done. Global efficiency: 0.13095433245076896
Subject 42/100 done. Global efficiency: 0.12737507937660597
Subject 43/100 done. Global efficiency: 0.10499118729990393
Subject 44/100 done. Global efficiency: 0.1569340930294134
Subject 45/100 done. Global efficiency: 0.12878053487977936
Subject 46/100 done. Global efficiency: 0.1354322726343462
Subject 47/100 done. Global efficiency: 0.1738260016516449
Subject 48/100 done. Global efficiency: 0.1309830855647938
Subject 49/100 done. Global efficiency: 0.14421493082699965
Subject 50/100 done. Global efficiency: 0.14902422978070887
Subject 51/100 done. Global efficiency: 0.15137879302316024
Subject 52/100 done. Global efficiency: 0.14274514328511567
Subject 53/100 done. Global efficiency: 0.09786217205291535
Subject 54/100 done. Global efficiency: 0.14711314575183357
Subject 55/100 done. Global efficiency: 0.17386594919589451
Subject 56/100 done. Global efficiency: 0.10088875942592467
Subject 57/100 done. Global efficiency: 0.12288619556496833
Subject 58/100 done. Global efficiency: 0.15637213901996352
Subject 59/100 done. Global efficiency: 0.14866505004387764
Subject 60/100 done. Global efficiency: 0.15171637026830687
Subject 61/100 done. Global efficiency: 0.17043414853491978
Subject 62/100 done. Global efficiency: 0.14979322069948495
Subject 63/100 done. Global efficiency: 0.14524594580648392
Subject 64/100 done. Global efficiency: 0.1258624079925108
Subject 65/100 done. Global efficiency: 0.14141227636447667
Subject 66/100 done. Global efficiency: 0.11685664391923449
Subject 67/100 done. Global efficiency: 0.12362473748682622
Subject 68/100 done. Global efficiency: 0.14634790483325513
Subject 69/100 done. Global efficiency: 0.12481289597783946
Subject 70/100 done. Global efficiency: 0.14314718968025386
Subject 71/100 done. Global efficiency: 0.1361893859336944
Subject 72/100 done. Global efficiency: 0.14458293779246068
Subject 73/100 done. Global efficiency: 0.1473142673144013
Subject 74/100 done. Global efficiency: 0.14287625250391556
Subject 75/100 done. Global efficiency: 0.14300487627395328
Subject 76/100 done. Global efficiency: 0.19202863932163725
Subject 77/100 done. Global efficiency: 0.14525397488485206
Subject 78/100 done. Global efficiency: 0.14195178698095312
Subject 79/100 done. Global efficiency: 0.15170290077779883
Subject 80/100 done. Global efficiency: 0.17871832687278696
Subject 81/100 done. Global efficiency: 0.13110493775424187
Subject 82/100 done. Global efficiency: 0.14416150942464526
Subject 83/100 done. Global efficiency: 0.15588027685338843
Subject 84/100 done. Global efficiency: 0.15703057692662895
Subject 85/100 done. Global efficiency: 0.17984289581080037
Subject 86/100 done. Global efficiency: 0.15034626005795132
Subject 87/100 done. Global efficiency: 0.15147805261929367
Subject 88/100 done. Global efficiency: 0.14784782033638003
Subject 89/100 done. Global efficiency: 0.14705827944514147
Subject 90/100 done. Global efficiency: 0.13199802231357646
Subject 91/100 done. Global efficiency: 0.19530891216129562
Subject 92/100 done. Global efficiency: 0.14738123807377915
Subject 93/100 done. Global efficiency: 0.12100068359337274
Subject 94/100 done. Global efficiency: 0.17987840531278626
Subject 95/100 done. Global efficiency: 0.11112517526075438
Subject 96/100 done. Global efficiency: 0.13764537916202224
Subject 97/100 done. Global efficiency: 0.13812482126958509
Subject 98/100 done. Global efficiency: 0.17303829999633472
Subject 99/100 done. Global efficiency: 0.12676633142128987
Subject 100/100 done. Global efficiency: 0.11167379212967943
Subject 1/100 done. Global efficiency: 0.14136910160011673
Subject 2/100 done. Global efficiency: 0.17603393919203772
Subject 3/100 done. Global efficiency: 0.17053035599916783
Subject 4/100 done. Global efficiency: 0.1764666810843062
Subject 5/100 done. Global efficiency: 0.14896437066057858
Subject 6/100 done. Global efficiency: 0.13578009337181493
Subject 7/100 done. Global efficiency: 0.13727910084305253
Subject 8/100 done. Global efficiency: 0.15452497522514846
Subject 9/100 done. Global efficiency: 0.13429033294174408
Subject 10/100 done. Global efficiency: 0.12626475683518326
Subject 11/100 done. Global efficiency: 0.15669220980178963
Subject 12/100 done. Global efficiency: 0.1296412512774458
Subject 13/100 done. Global efficiency: 0.14309840349310107
Subject 14/100 done. Global efficiency: 0.1622125414846941
Subject 15/100 done. Global efficiency: 0.10478195225827618
Subject 16/100 done. Global efficiency: 0.14468598449857087
